# Stock data for NVDA from 2026-06-17 to 2026-08-01
# Total records: 31
# Data retrieved on: 2026-08-04 08:23:08

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-17,208.53,209.21,203.08,204.65,128363500,0.0,0.0
2026-06-18,207.33,211.39,206.5,210.69,241272000,0.0,0.0
2026-06-22,211.44,213.99,207.72,208.65,122041400,0.0,0.0
2026-06-23,202.17,203.77,200.0,200.04,153496200,0.0,0.0
2026-06-24,200.12,201.67,196.58,199.0,151810700,0.0,0.0
2026-06-25,200.08,200.8,192.13,195.74,149550000,0.0,0.0
2026-06-26,193.12,195.55,191.22,192.53,179304100,0.0,0.0
2026-06-29,193.85,196.18,189.8,194.97,148835700,0.0,0.0
2026-06-30,197.24,200.63,195.11,200.09,166476700,0.0,0.0
2026-07-01,196.2,199.85,193.45,197.58,146147600,0.0,0.0
2026-07-02,197.14,200.06,192.35,194.83,142068700,0.0,0.0
2026-07-06,194.42,197.55,193.99,195.55,108999000,0.0,0.0
2026-07-07,192.37,198.41,191.14,196.93,124154600,0.0,0.0
2026-07-08,195.18,205.16,195.06,204.12,147419100,0.0,0.0
2026-07-09,204.46,204.59,198.96,202.78,132037400,0.0,0.0
2026-07-10,202.0,211.0,201.92,210.96,148421000,0.0,0.0
2026-07-13,208.54,210.57,203.0,203.53,121411000,0.0,0.0
2026-07-14,208.2,212.55,203.8,211.8,124379600,0.0,0.0
2026-07-15,211.96,213.81,206.04,212.5,124797200,0.0,0.0
2026-07-16,210.17,211.08,205.85,207.4,122986100,0.0,0.0
2026-07-17,202.64,206.65,197.97,202.81,144281900,0.0,0.0
2026-07-20,205.87,207.74,202.28,203.28,88701500,0.0,0.0
2026-07-21,207.54,208.65,204.01,207.29,108685600,0.0,0.0
2026-07-22,205.81,214.39,204.95,212.06,137645600,0.0,0.0
2026-07-23,209.46,210.87,205.96,208.76,110505300,0.0,0.0
2026-07-24,207.45,211.91,204.81,206.84,114836800,0.0,0.0
2026-07-27,208.2,208.75,195.44,196.51,154353700,0.0,0.0
2026-07-28,195.0,198.7,192.74,197.01,134111500,0.0,0.0
2026-07-29,195.85,197.07,190.01,190.01,147680800,0.0,0.0
2026-07-30,193.45,197.25,191.52,195.04,129010200,0.0,0.0
2026-07-31,198.44,202.0,194.95,200.75,139659700,0.0,0.0
